"Age","Mean","CI","Infe","Supe"
-62,0.0236406655,0.9,0.00816416630082435,0.0389944374208974
-61,0.0233389705574099,0.9,0.00934671643848894,0.0378362906687969
-60,0.0230372756148199,0.9,0.010253095734915,0.0361653253795289
-59,0.0227355806722298,0.9,0.0103620141173014,0.035059752388378
-58,0.0224338857296398,0.9,0.0103249166120714,0.0340182358247432
-57,0.0221321907870498,0.9,0.011127805101173,0.0326921987753433
-56,0.0218304958444597,0.9,0.0134528364423275,0.0313702690506136
-55,0.0215288009018696,0.9,0.0126946452536596,0.0303635531797185
-54,0.0212271059592796,0.9,0.0132907053469849,0.0292782682460704
-53,0.0209254110166896,0.9,0.014143598268309,0.0281423672103083
-52,0.0206237160740995,0.9,0.0143009240586089,0.026958287237226
-51,0.0203220211315095,0.9,0.0148188547939677,0.0259272789914107
-50,0.0200203261889194,0.9,0.0147739358250964,0.0250912720236093
-49,0.0197186312463294,0.9,0.0151184796690905,0.0243446313132868
-48,0.0194169363037393,0.9,0.01495787830304,0.023680124584879
-47,0.0191152413611493,0.9,0.0145043521462879,0.0234473650742532
-46,0.0188135464185592,0.9,0.0145651876180262,0.0233897400522111
-45,0.0185118514759692,0.9,0.0134504123847928,0.0232615723164112
-44,0.0189518580137713,0.9,0.0134641620250895,0.0240247463570046
-43,0.0194150634034252,0.9,0.0141144544864856,0.0243700103436209
-42,0.0198782687930792,0.9,0.0149731499756664,0.0248052438479065
-41,0.0204792239910665,0.9,0.0149182270607347,0.0258517543927559
-40,0.0210801791890538,0.9,0.015677314665906,0.026329311553347
-39,0.0218479991824956,0.9,0.0163217159176881,0.0272264752785432
-38,0.0226158191759374,0.9,0.0168701666468013,0.0282220168113758
-37,0.0233836391693793,0.9,0.0175497762794719,0.028988972423932
-36,0.0241514591628211,0.9,0.0184267899309613,0.0302388620755165
-35,0.0249192791562629,0.9,0.0186978355393524,0.0311061913142539
-34,0.0256870991497048,0.9,0.0193256282053203,0.0314883303161063
-33,0.0264549191431466,0.9,0.0201542434252149,0.0330907779183376
-32,0.0272227391365885,0.9,0.0203552387872891,0.0340761553350468
-31,0.0279905591300303,0.9,0.0211003498477808,0.0350374717804827
-30,0.0287583791234721,0.9,0.0212880889427799,0.0363218703319215
