"Age","Mean","CI","Infe","Supe"
-62,0.00396961,0.9,0.00244754087371288,0.00551426040957041
-61,0.00396961,0.9,0.00240943119214127,0.00554504326231318
-60,0.00396961,0.9,0.00246168638114198,0.0055880503379104
-59,0.003970111,0.9,0.00226140387132421,0.00561875862550595
-58,0.003970611,0.9,0.00237135376772527,0.00551029050421333
-57,0.003971111,0.9,0.00240688544258656,0.00545538862948551
-56,0.003971611,0.9,0.00232361745213977,0.00561609335366603
-55,0.003972165,0.9,0.0023466028208366,0.00555969197629387
-54,0.003972724,0.9,0.00232968447881769,0.00554306636202316
-53,0.003973283,0.9,0.00240766650286703,0.00551090174738322
-52,0.003973843,0.9,0.00234025024050852,0.00552574843883749
-51,0.003974458,0.9,0.00238997668036446,0.00552254268566824
-50,0.003975074,0.9,0.00236743736662848,0.00550029773847662
-49,0.003975691,0.9,0.00231438915629001,0.0056230779891888
-48,0.003976309,0.9,0.00240932017964873,0.00552566742629054
-47,0.003976927,0.9,0.00241621453311607,0.00547423838880585
-46,0.003977544,0.9,0.00247730408470814,0.00558191514318643
-45,0.003978157,0.9,0.00250448115843338,0.00553429986926098
-44,0.003978769,0.9,0.00248186952365647,0.00557829260413799
-43,0.003979381,0.9,0.00233867253759057,0.00553734035330032
-42,0.003979993,0.9,0.0024517695114253,0.00548669296838785
-41,0.003980598,0.9,0.0023589229174667,0.00559765397509252
-40,0.003981203,0.9,0.0024204417496309,0.00547828569481354
-39,0.003981811,0.9,0.00240660367612172,0.00550028801723831
-38,0.003982418,0.9,0.00238895374064738,0.00545526255931925
-37,0.003983026,0.9,0.00241385628012891,0.00551740595710833
-36,0.003983634,0.9,0.00241788106304202,0.00558202427296065
-35,0.003984237,0.9,0.00239915517307506,0.00555208974784586
-34,0.003984839,0.9,0.00246291965876329,0.00548449671828042
-33,0.003985441,0.9,0.00249145901422191,0.00549615766946178
-32,0.003986044,0.9,0.00245272720343498,0.00554322711254766
-31,0.003986639,0.9,0.00241120696055561,0.00557129000741236
-30,0.003987234,0.9,0.00244237956299193,0.00558729127618058
-29,0.003987833,0.9,0.0024174530913107,0.00551114282060121
-28,0.003988431,0.9,0.00234605605410808,0.00554416600862131
-27,0.00398903,0.9,0.00240043435144722,0.00554719021211635
-26,0.003989629,0.9,0.00234756082248583,0.00556615868201868
-25,0.003990223,0.9,0.00240897890627896,0.00558731994890956
-24,0.003990816,0.9,0.00244185093987579,0.00552490006546288
-23,0.00399141,0.9,0.00251893732602885,0.00554960320283334
-22,0.003992003,0.9,0.00245242267275157,0.00556910775033819
-21,0.003992589,0.9,0.00237606613667451,0.00557547083729946
-20,0.003993175,0.9,0.00245136085164458,0.00557119195182556
-19,0.003993766,0.9,0.00238761211750677,0.00552796239900975
-18,0.003994357,0.9,0.00234424173666392,0.00558890689930538
-17,0.003994947,0.9,0.00239477701154618,0.00552117438952155
-16,0.003995538,0.9,0.00234541354901607,0.00559876463283244
-15,0.003996123,0.9,0.0023744680865695,0.00556057899784825
-14,0.003996708,0.9,0.00232046065830922,0.00565003836304547
-13,0.003997294,0.9,0.00252564301860285,0.00551395800341917
-12,0.003997879,0.9,0.00244836438973072,0.00559129948147381
-11,0.003998455,0.9,0.00241115689651523,0.00562017942180308
-10,0.003999032,0.9,0.00243230411219951,0.00557310972130065
-9,0.003999613,0.9,0.0025007888155535,0.00553369110536742
-8,0.004000195,0.9,0.00235488266125639,0.00554471412986806
-7,0.004000777,0.9,0.00242053967375986,0.00554465469193918
-6,0.004001358,0.9,0.00241624012249975,0.00552795545874817
-5,0.004001935,0.9,0.00235555718903178,0.0056230967302208
-4,0.004002512,0.9,0.00239303021629358,0.00551772314673611
-3,0.004003088,0.9,0.00244641290766091,0.00558207485543552
-2,0.004003664,0.9,0.00245208507681122,0.00554547510570462
-1,0.004004233,0.9,0.00244316533063048,0.00550621765301984
0,0.004004801,0.9,0.00243758696918314,0.00556593351797068
1,0.004005376,0.9,0.00248157097122244,0.00562252455029908
2,0.00400595,0.9,0.00234973325278331,0.00559393831211492
3,0.004006525,0.9,0.00241769434492427,0.00558658519628361
4,0.004007099,0.9,0.00240405928087205,0.00557249853527743
5,0.004007669,0.9,0.00251190176267604,0.0056019203774641
6,0.004008238,0.9,0.00249102143687969,0.00558787221210262
7,0.004008807,0.9,0.00246040380751372,0.0055986361467739
8,0.004009376,0.9,0.00250067390996495,0.00559411533861696
9,0.004009938,0.9,0.00251810995632052,0.00562880399362943
10,0.0040105,0.9,0.00251985297508467,0.00556566585140849
11,0.004011068,0.9,0.0024512345837313,0.00555757719571481
12,0.004011636,0.9,0.00239359738522626,0.00559366729078308
13,0.004012204,0.9,0.00244244101960617,0.00562753629504182
14,0.004012772,0.9,0.00241571875513261,0.00559672437299552
15,0.004013336,0.9,0.00245766117045578,0.00563417717121923
16,0.004013898,0.9,0.00239656837937077,0.00560718472473333
17,0.004014461,0.9,0.00253078357492616,0.00562269284048925
18,0.004015024,0.9,0.00232173448656891,0.00562808964256022
19,0.004015579,0.9,0.00243442179628824,0.00552282876860999
20,0.004016134,0.9,0.00247154020638228,0.00543684802017761
21,0.004016697,0.9,0.0024614554442775,0.00556225440457135
22,0.00401726,0.9,0.00248871010837514,0.00555981302675999
23,0.004017823,0.9,0.00234659667128325,0.00562966799972109
24,0.004018386,0.9,0.00251481667500253,0.00553879628195443
25,0.004018944,0.9,0.00243758097874345,0.00554832323880744
26,0.004019501,0.9,0.00238724700184983,0.0055779648633487
27,0.004020059,0.9,0.00243322214159986,0.00559645560681522
28,0.004020616,0.9,0.00243663356689031,0.00554295278446104
29,0.004021166,0.9,0.00238591656028465,0.00559246411038603
30,0.004021716,0.9,0.00246679777847818,0.00552441575205235
31,0.004022274,0.9,0.00244469689814788,0.00558722583825519
32,0.004022832,0.9,0.00249160415632402,0.00558758874057288
33,0.004023391,0.9,0.00248014386817007,0.00560857694197341
34,0.004023949,0.9,0.00247996678639838,0.00558303456395197
35,0.004024502,0.9,0.00251671926580251,0.00550972240019682
36,0.004025055,0.9,0.00251004618102635,0.00561896668717519
37,0.004025607,0.9,0.00251175072698987,0.00563994207080792
38,0.00402616,0.9,0.00239210762348196,0.00561176195509661
39,0.004026706,0.9,0.00243690020148963,0.00562470450021207
40,0.004027251,0.9,0.00246552772590734,0.00561318175290481
41,0.004027805,0.9,0.00248539313473973,0.00556395858231066
42,0.004028359,0.9,0.00240383623523286,0.00564036873774011
43,0.004028913,0.9,0.0025754415793178,0.00552838269829314
44,0.004029467,0.9,0.00251287490759303,0.00556480084983106
45,0.004030016,0.9,0.00247590098339866,0.0056472684153334
46,0.004030564,0.9,0.0024994812795597,0.00553495114453106
47,0.004031113,0.9,0.00236164634599972,0.00568481539574202
48,0.004031661,0.9,0.0025355719976653,0.00559859300100003
49,0.004032203,0.9,0.00251609204284452,0.00558268965385218
50,0.004032744,0.9,0.00243377946651359,0.00556549750112071
51,0.004033294,0.9,0.00249871788025016,0.00561202459288965
52,0.004033845,0.9,0.00248426009385286,0.0055582918033777
53,0.004034395,0.9,0.00241076649731813,0.00559109626344263
54,0.004034945,0.9,0.0024426661315912,0.00564232963384089
55,0.004035491,0.9,0.00250619827180061,0.00557623155602722
56,0.004036036,0.9,0.00249000450031205,0.00562972953272098
57,0.004036581,0.9,0.00248536800138729,0.00554620460655398
58,0.004037126,0.9,0.00240682441244165,0.00558045230427507
59,0.004037663,0.9,0.00250006198884813,0.00563824264411817
60,0.0040382,0.9,0.00243837671273747,0.00555321491922783
61,0.004038747,0.9,0.00241780196906601,0.00551490455679318
62,0.004039294,0.9,0.00252607056235962,0.00564686787607882
63,0.004039841,0.9,0.00249806085015253,0.00552591153022785
64,0.004040388,0.9,0.00244325860470134,0.00562262222612949
65,0.00404093,0.9,0.00239419979297699,0.00562246859541139
66,0.004041471,0.9,0.00247657166824766,0.0056105220521394
67,0.004042013,0.9,0.00250151089428145,0.0056181660900362
68,0.004042554,0.9,0.00244379229735177,0.00563992200695253
69,0.004043088,0.9,0.00244160437182105,0.00563076373828906
70,0.004043622,0.9,0.00245526340312498,0.00564963188015831
71,0.004044166,0.9,0.00242634311201191,0.00560614492836179
72,0.004044711,0.9,0.00249716367361794,0.00556095845651219
73,0.004045256,0.9,0.00255691247191292,0.00562178593149048
74,0.004045801,0.9,0.00242525467075561,0.00558815771529711
75,0.004046341,0.9,0.00252026308856511,0.00556738682668347
76,0.00404688,0.9,0.00250751919398683,0.00556910204992374
77,0.004047419,0.9,0.0025366976360431,0.00559226149308603
78,0.004047959,0.9,0.00251218934584537,0.00549523513463511
79,0.004048491,0.9,0.0024647204803233,0.00558344051600636
80,0.004049023,0.9,0.00247859579477787,0.00565041745547238
81,0.004049566,0.9,0.00254919561436153,0.00559747203829112
82,0.00405011,0.9,0.00246960019508463,0.00558923446324037
83,0.004050653,0.9,0.00252752597062404,0.00559334256758083
84,0.004051196,0.9,0.00247590812291181,0.00558522370291402
85,0.004051735,0.9,0.00249395025487516,0.00553239112550522
86,0.004052273,0.9,0.00237492148888486,0.00555233448342078
87,0.004052811,0.9,0.00252389943164987,0.00566103767412257
88,0.004053349,0.9,0.00246128519278888,0.0056281504495201
89,0.00405388,0.9,0.00256037372563785,0.00563105214423202
90,0.004054411,0.9,0.00253060964528632,0.00556988536839403
91,0.004054954,0.9,0.00249738352163099,0.00559660422645042
92,0.004055497,0.9,0.00252138465342902,0.00564486466055163
93,0.004056039,0.9,0.00247925697584093,0.00561565660674165
94,0.004056582,0.9,0.00250484666072234,0.00560256173066905
95,0.004057121,0.9,0.00252319819422087,0.00561705291155157
96,0.004057658,0.9,0.00245278122380937,0.00559024189097208
97,0.004058195,0.9,0.00253949629040004,0.00563096007029399
98,0.004058733,0.9,0.00249898377448569,0.00567174452981861
99,0.004059263,0.9,0.00253036466558378,0.00559695496704885
100,0.004059793,0.9,0.00246526044454748,0.00557682127917624
101,0.004060336,0.9,0.00245955052257138,0.00564580434763215
102,0.004060879,0.9,0.00247876255402082,0.00557045199352673
103,0.004061422,0.9,0.00247935951697132,0.00562605647769
104,0.004061965,0.9,0.00248473506843327,0.00563223654851702
105,0.004062504,0.9,0.00250599470978378,0.00559811131557491
106,0.004063041,0.9,0.00258597736624041,0.00568064267780363
107,0.004063579,0.9,0.00253481184682172,0.00561426867870381
108,0.004064116,0.9,0.00256127281427431,0.00554750421709039
109,0.004064647,0.9,0.00242125887408054,0.00559877023803157
110,0.004065177,0.9,0.00250683413699415,0.00561954455369654
111,0.004065721,0.9,0.00252130967379504,0.00570992016337547
112,0.004066265,0.9,0.00243482423883736,0.00573838303376857
113,0.004066809,0.9,0.00251508519210534,0.00567374528003347
114,0.004067352,0.9,0.00261707623298229,0.00557503435593997
115,0.004067892,0.9,0.00249485064101474,0.00560353298327622
116,0.00406843,0.9,0.00251193584274973,0.00561619657867169
117,0.004068968,0.9,0.00249887099695408,0.00561912741412366
118,0.004069507,0.9,0.00256557834145805,0.00563488005860869
119,0.004070038,0.9,0.00249986895319817,0.00560217156532035
120,0.004070569,0.9,0.00253165111954294,0.00563740190548209
121,0.004071115,0.9,0.00257593164580592,0.00557849290274263
122,0.004071661,0.9,0.00253030201978562,0.0056266103075417
123,0.004072207,0.9,0.00247133294384265,0.00562856367811264
124,0.004072753,0.9,0.00249823164059339,0.00557752572477198
125,0.004073294,0.9,0.00247554283381322,0.0056480346219759
126,0.004073835,0.9,0.00249479834582234,0.00565349592311326
127,0.004074375,0.9,0.00253694034331963,0.00559427944413449
128,0.004074916,0.9,0.00237450937955318,0.00553582045661632
129,0.004075449,0.9,0.00264329865967189,0.00562044325123903
130,0.004075982,0.9,0.00253597447528153,0.00566778887340048
131,0.00407653,0.9,0.00255786168937737,0.00559655513811679
132,0.004077078,0.9,0.00249193968148458,0.00556473447667358
133,0.004077626,0.9,0.00263995059456795,0.00566805099402063
134,0.004078174,0.9,0.00247876547572908,0.00561057188663328
135,0.004078718,0.9,0.00253380504110628,0.00562347559853336
136,0.004079261,0.9,0.00243124999864491,0.00563991231300007
137,0.004079804,0.9,0.00250816347052568,0.00558858517144963
138,0.004080346,0.9,0.00249885705248054,0.00565022599189717
139,0.004080881,0.9,0.00249816622315885,0.00564294972512276
140,0.004081416,0.9,0.00261378848899738,0.00562117312228056
141,0.004081966,0.9,0.00251785826648755,0.00558940368279507
142,0.004082517,0.9,0.00250971211369499,0.00559315302010548
143,0.004083067,0.9,0.00253931064011034,0.0057100979347979
144,0.004083617,0.9,0.00247358316608433,0.00567669215523699
145,0.004084163,0.9,0.00249369489432321,0.00562463855646091
146,0.004084708,0.9,0.00256639610208051,0.00564983791627118
147,0.004085253,0.9,0.00258966610910685,0.00563622403036596
148,0.004085797,0.9,0.0024646086079232,0.00562280073174981
149,0.004086335,0.9,0.00251342532359157,0.00575586131638174
150,0.004086873,0.9,0.00250376921894491,0.00563922726820891
151,0.004087427,0.9,0.00247202170134268,0.00561556287189723
152,0.004087981,0.9,0.00259944999773956,0.00559075773332483
153,0.004088535,0.9,0.00258569153488991,0.00555911667698864
154,0.004089089,0.9,0.00254074292401804,0.00560045241465396
155,0.004089638,0.9,0.00251848535332204,0.00570067596132595
156,0.004090187,0.9,0.0025190580247901,0.00561635529252721
157,0.004090735,0.9,0.00257997164138188,0.00564231159719002
158,0.004091284,0.9,0.00263804206533738,0.00561023252291754
159,0.004091826,0.9,0.00257597699469555,0.00560287207437352
160,0.004092367,0.9,0.00257857008785704,0.00564731480436852
161,0.004092926,0.9,0.00253469935011317,0.00564718061551912
162,0.004093484,0.9,0.0025405628642505,0.00566967200628671
163,0.004094042,0.9,0.00254804948823906,0.00563487926184435
164,0.004094601,0.9,0.00254402017396683,0.0056740420976381
165,0.004095155,0.9,0.00250934849600503,0.00560820921704135
166,0.004095708,0.9,0.0025987255254243,0.00558195574417864
167,0.004096261,0.9,0.00252437447494658,0.00561264988040878
168,0.004096814,0.9,0.00263000059731258,0.00565128284412887
169,0.00409736,0.9,0.00255389619599188,0.00564333084571649
170,0.004097906,0.9,0.00251302940475807,0.00560968877909245
171,0.00409847,0.9,0.00251838111990763,0.00553484195450011
172,0.004099034,0.9,0.00260914857246934,0.00558796652295942
173,0.004099597,0.9,0.00263698619396354,0.0056408556498803
174,0.004100161,0.9,0.0025242766623729,0.00563314154616897
175,0.00410072,0.9,0.00264324566150308,0.0056870541142727
176,0.004101278,0.9,0.00257024944220459,0.00565115803360455
177,0.004101836,0.9,0.00251994259187858,0.00565122913217881
178,0.004102395,0.9,0.00258501102759288,0.00561757355232037
179,0.004102946,0.9,0.00251323162011102,0.00565220403320896
180,0.004103498,0.9,0.00258053142543569,0.00566054609074716
181,0.004104068,0.9,0.002600491269848,0.00562672959801986
182,0.004104639,0.9,0.00262598888756157,0.0055586767751011
183,0.004105209,0.9,0.00255320333093643,0.00566770712985769
184,0.00410578,0.9,0.00256455492209448,0.00566052933015777
