"Age","Mean","CI","Infe","Supe"
-62,0.688920277,0.9,0.621527689406642,0.754814725786885
-61,0.68873764,0.9,0.620917988537493,0.757117617423801
-60,0.688555002,0.9,0.618521517650659,0.761105372540532
-59,0.688327883,0.9,0.620096098257437,0.758084878721876
-58,0.688100446,0.9,0.617424478074687,0.755407276841562
-57,0.687872684,0.9,0.62143232590981,0.757466348618385
-56,0.687644563,0.9,0.617999312819136,0.752921369621304
-55,0.687412831,0.9,0.61625219973052,0.759902548621832
-54,0.687180463,0.9,0.618022759382197,0.754224355673859
-53,0.686947811,0.9,0.61971499175109,0.756367262359354
-52,0.686714902,0.9,0.616943112772348,0.752137249748506
-51,0.686480012,0.9,0.617332095898752,0.752768003461274
-50,0.686244897,0.9,0.617448433399185,0.754966102100982
-49,0.686009817,0.9,0.620278972236542,0.75609797401838
-48,0.685774464,0.9,0.618306885961788,0.758552361278119
-47,0.685538838,0.9,0.614825470801892,0.752095935077654
-46,0.685302928,0.9,0.614581850787773,0.756133835580261
-45,0.685067048,0.9,0.616151313387125,0.756353535126388
-44,0.685896488,0.9,0.615065188013375,0.749277591634273
-43,0.686372163,0.9,0.616302376336786,0.75959930998954
-42,0.686847798,0.9,0.617997223639461,0.759144676691203
-41,0.687640305,0.9,0.618037168178435,0.757657970185262
-40,0.688432663,0.9,0.619172493677274,0.759607301118188
-39,0.689410056,0.9,0.618165275292823,0.762669449245049
-38,0.69038727,0.9,0.616016717139538,0.763091015993262
-37,0.691364378,0.9,0.619311824888019,0.763621675536405
-36,0.692341347,0.9,0.620930973100763,0.759503127613284
-35,0.693318484,0.9,0.622873593904969,0.763851395813417
-34,0.694295528,0.9,0.619911503080491,0.763965385251842
-33,0.695272427,0.9,0.621777722094925,0.767476710925095
-32,0.696249209,0.9,0.627145907156983,0.764203539209383
-31,0.697226056,0.9,0.625892565747706,0.769192965376418
-30,0.698202792,0.9,0.624286861907016,0.770531251588814
-29,0.699179538,0.9,0.627376290063542,0.775551773881737
-28,0.700156162,0.9,0.626774832042834,0.77414816386841
-27,0.70074378,0.9,0.628394030012977,0.773234589172208
-26,0.701331258,0.9,0.627886424981869,0.775912698063177
-25,0.701449906,0.9,0.625424477943415,0.778774964359888
-24,0.701393159,0.9,0.626376887467371,0.772495062976407
-23,0.701336514,0.9,0.624083685819875,0.776635420562841
-22,0.701279947,0.9,0.626783436600711,0.772593179529753
-21,0.700200503,0.9,0.628715537729374,0.771359210952641
-20,0.699121536,0.9,0.626458268729615,0.774092324476591
-19,0.698043136,0.9,0.626151168512232,0.770978616258873
-18,0.696965212,0.9,0.622682578038049,0.772080381170492
-17,0.696248343,0.9,0.625399468970792,0.766877062112625
-16,0.69553198,0.9,0.625535007113891,0.768338737407964
-15,0.694816394,0.9,0.6241480255944,0.766398261073602
-14,0.694101352,0.9,0.623223426200382,0.765522463568053
-13,0.69338677,0.9,0.623778136239224,0.760795204381063
-12,0.692672703,0.9,0.623096016602958,0.761893363884529
-11,0.691959373,0.9,0.62338053611836,0.762125862100192
-10,0.691634021,0.9,0.623519942041495,0.759299270781995
-9,0.69130913,0.9,0.620751786620772,0.760081724970486
-8,0.690984711,0.9,0.62601967170638,0.754213164278271
-7,0.690988825,0.9,0.623249048375176,0.759729589441307
-6,0.690993183,0.9,0.624007300112819,0.761694018377004
-5,0.69099801,0.9,0.627857035566881,0.754171868414434
-4,0.69100309,0.9,0.623469667336478,0.757914184997522
-3,0.691008394,0.9,0.625760052700154,0.757265759749295
-2,0.691013953,0.9,0.626414306365777,0.754257631429685
-1,0.691530862,0.9,0.628473215122676,0.756137613261708
0,0.692047784,0.9,0.628558291805988,0.755784834128613
1,0.692564695,0.9,0.626847358873349,0.759024522408266
2,0.69308162,0.9,0.626268008626515,0.759931002926371
3,0.693598561,0.9,0.629258891670048,0.758415349260883
4,0.694115501,0.9,0.628446888823835,0.757278446093749
