Age,human
0,4.528384471
1,4.540029342
2,4.551700932
3,4.563399601
4,4.575125708
5,4.586879613
6,4.598661679
7,4.610472267
8,4.622311741
9,4.634180464
10,4.646078803
11,4.658007123
12,4.669965791
13,4.681955176
14,4.693975645
15,4.70602757
16,4.71811132
17,4.730227267
18,4.742375784
19,4.754557244
20,4.766772022
21,4.779020493
22,4.791303034
23,4.803620021
24,4.815971833
25,4.82835885
26,4.84078145
27,4.853240015
28,4.865734927
29,4.878266569
30,4.890835324
31,4.903441578
32,4.916085715
33,4.928768122
34,4.941489188
35,4.9542493
36,4.967048847
37,4.979888221
38,4.992767812
39,5.005688012
40,5.018649214
41,5.031651814
42,5.044696205
43,5.057782783
44,5.070911946
45,5.084084091
46,5.097299617
47,5.110558923
48,5.123862411
49,5.137210481
50,5.150603537
51,5.164041982
52,5.17752622
53,5.191056656
54,5.204633697
55,5.218257749
56,5.231929222
57,5.245648524
58,5.259416065
59,5.273232256
60,5.28709751
61,5.301012238
62,5.314976855
63,5.328991775
64,5.343057415
65,5.35717419
66,5.371342519
67,5.385562819
68,5.399835511
69,5.414161015
70,5.428539752
71,5.442972144
72,5.457458615
73,5.471999589
74,5.486595491
75,5.501246747
76,5.515953784
77,5.530717031
78,5.545536916
79,5.560413868
80,5.57534832
81,5.590340702
82,5.605391447
83,5.62050099
84,5.635669764
85,5.650898206
86,5.666186751
87,5.681535838
88,5.696945904
89,5.71241739
90,5.727950735
91,5.743546381
92,5.75920477
93,5.774926346
94,5.790711551
95,5.806560833
96,5.822474636
97,5.838453407
98,5.854497595
99,5.870607649
100,5.886784018
101,5.903013134
102,5.919281074
103,5.935587754
104,5.951933094
105,5.96831701
106,5.98473942
107,6.001200239
108,6.017699385
109,6.034236773
110,6.050812319
111,6.067425939
112,6.084077546
113,6.100767057
114,6.117494384
115,6.134259443
116,6.151062147
117,6.167902408
118,6.184780141
119,6.201695258
120,6.21864767
121,6.235637291
122,6.252664031
123,6.269727802
124,6.286828515
125,6.30396608
126,6.321140408
127,6.338351409
128,6.355598993
129,6.372883067
130,6.390203543
131,6.407560328
132,6.42495333
133,6.442382457
134,6.459847618
135,6.477348719
136,6.494885667
137,6.512458369
138,6.53006673
139,6.547710658
140,6.565390057
141,6.583104833
142,6.60085489
143,6.618640134
144,6.636460468
145,6.654315796
146,6.672206022
147,6.69013105
148,6.708090781
149,6.726085118
150,6.744113964
151,6.762177221
152,6.780274789
153,6.798406571
154,6.816572466
155,6.834772377
156,6.853006201
157,6.871273841
158,6.889575194
159,6.90791016
160,6.926278638
161,6.944680526
162,6.963115723
163,6.981584126
164,7.000085632
165,7.01862014
166,7.037187544
167,7.055787743
168,7.074420631
169,7.093086106
170,7.111784061
171,7.130514392
172,7.149276995
173,7.168071762
174,7.186898589
175,7.205757368
176,7.224647994
177,7.243570359
178,7.262524356
179,7.281509877
180,7.300526814
181,7.319575059
182,7.338654503
183,7.357765037
184,7.376906552
185,7.396078937
186,7.415282083
187,7.43451588
188,7.453780216
189,7.473074981
190,7.492400063
191,7.51175535
192,7.531140729
193,7.55055609
194,7.570001318
195,7.589476301
196,7.608980924
197,7.628515075
198,7.648078639
199,7.667671501
200,7.687293547
201,7.706944661
202,7.726650467
203,7.746436081
204,7.766300621
205,7.786243204
206,7.806262944
207,7.826358952
208,7.846530336
209,7.866776204
210,7.887095659
211,7.907487802
212,7.927951733
213,7.948486547
214,7.969091338
215,7.989765198
216,8.010507216
217,8.031316477
218,8.052192066
219,8.073133064
220,8.09413855
221,8.115207599
222,8.136339286
223,8.157532682
224,8.178786856
225,8.200100873
226,8.221473797
227,8.24290469
228,8.26439261
229,8.285936614
230,8.307535754
231,8.329189082
232,8.350895647
233,8.372654494
234,8.394464667
235,8.416325207
236,8.438235153
237,8.46019354
238,8.482199401
239,8.504251768
240,8.526349669
241,8.54849213
242,8.570678174
243,8.592906821
244,8.615177091
245,8.637487998
246,8.659838556
247,8.682227775
248,8.704654663
249,8.727118227
250,8.749617469
251,8.772151389
252,8.794718985
253,8.817319253
254,8.839951186
255,8.862613773
256,8.885306004
257,8.908026862
258,8.93077533
259,8.95355039
260,8.976351017
261,8.999176188
262,9.022024874
263,9.044896047
264,9.067788672
265,9.090701715
266,9.113634139
267,9.136584902
268,9.159552963
269,9.182537275
270,9.205536791
271,9.228550461
272,9.251577231
273,9.274616046
274,9.297665847
275,9.320725575
276,9.343794165
277,9.366870552
278,9.389953668
279,9.413042441
280,9.436135798
281,9.459232663
282,9.482331958
283,9.505432601
284,9.528533508
285,9.551633593
286,9.574731768
287,9.597826941
288,9.620918017
289,9.644003901
290,9.667083492
291,9.69015569
292,9.71321939
293,9.736273486
294,9.759316867
295,9.782348421
296,9.805367035
297,9.828371591
298,9.851360969
299,9.874334047
300,9.8972897
301,9.920226801
302,9.943144219
303,9.966132469
304,9.989281168
305,10.01258784
306,10.03604999
307,10.05966513
308,10.08343076
309,10.10734438
310,10.13140346
311,10.1556055
312,10.17994796
313,10.20442832
314,10.22904403
315,10.25379255
316,10.27867133
317,10.30367781
318,10.32880942
319,10.35406359
320,10.37943775
321,10.4049293
322,10.43053566
323,10.45625424
324,10.48208241
325,10.50801758
326,10.53405713
327,10.56019843
328,10.58643885
329,10.61277576
330,10.63920651
331,10.66572844
332,10.69233891
333,10.71903525
334,10.74581479
335,10.77267485
336,10.79961275
337,10.8266258
338,10.8537113
339,10.88086656
340,10.90808885
341,10.93537546
342,10.96272368
343,10.99013076
344,11.01759398
345,11.04511059
346,11.07267785
347,11.10029299
348,11.12795325
349,11.15565587
350,11.18339807
351,11.21117707
352,11.23899007
353,11.26683429
354,11.29470691
355,11.32260514
356,11.35052615
357,11.37846712
358,11.40642523
359,11.43439764
360,11.4623815
361,11.49037397
362,11.51837219
363,11.54637331
364,11.57437444
365,11.60237272
366,11.63036527
367,11.65834919
368,11.6863216
369,11.71427958
370,11.74222023
371,11.77014064
372,11.79803788
373,11.82590903
374,11.85375114
375,11.88156129
376,11.90933651
377,11.93707385
378,11.96477036
379,11.99242306
380,12.02002898
381,12.04758514
382,12.07508854
383,12.1025362
384,12.12992511
385,12.15725226
386,12.18451463
387,12.21170921
388,12.23883297
389,12.26588287
390,12.29285586
391,12.31974891
392,12.34655895
393,12.37328292
394,12.39991775
395,12.42646037
396,12.4529077
397,12.47925664
398,12.5055041
399,12.53164698
400,12.55768217
401,12.58360656
402,12.60941701
403,12.6351104
404,12.66095955
405,12.68723416
406,12.71392639
407,12.7410284
408,12.76853233
409,12.79643029
410,12.82471437
411,12.85337666
412,12.88240921
413,12.91180406
414,12.94155323
415,12.97164871
416,13.00208249
417,13.03284652
418,13.06393274
419,13.09533308
420,13.12703944
421,13.15904369
422,13.1913377
423,13.22391332
424,13.25676237
425,13.28987664
426,13.32324793
427,13.356868
428,13.39072859
429,13.42482143
430,13.45913822
431,13.49367066
432,13.52841041
433,13.56334911
434,13.5984784
435,13.63378987
436,13.66927513
437,13.70492574
438,13.74073324
439,13.77668917
440,13.81278505
441,13.84901235
442,13.88536254
443,13.92182709
444,13.95839743
445,13.99506495
446,14.03182106
447,14.06865714
448,14.10556452
449,14.14253455
450,14.17955854
451,14.21662778
452,14.25373355
453,14.2908671
454,14.32801966
455,14.36518246
456,14.40234669
457,14.43950352
458,14.47664411
459,14.51375959
460,14.55084109
461,14.58787969
462,14.62486649
463,14.66179252
464,14.69864884
465,14.73542646
466,14.77211637
467,14.80870956
468,14.84519698
469,14.88156958
470,14.91781827
471,14.95393395
472,14.98990751
473,15.02572979
474,15.06139164
475,15.09688389
476,15.13219732
477,15.16732273
478,15.20225086
479,15.23697247
480,15.27147827
481,15.30575897
482,15.33980524
483,15.37360775
484,15.40715714
485,15.44044403
486,15.47345901
487,15.50619269
488,15.5386356
489,15.57077831
490,15.60261132
491,15.63412515
492,15.66531027
493,15.69615714
494,15.72665622
495,15.75679792
496,15.78657264
497,15.81597077
498,15.84498266
499,15.87359868
500,15.90180912
501,15.92960431
502,15.95697452
503,15.98391001
504,16.01040103
505,16.03677992
506,16.0633819
507,16.09020152
508,16.11723329
509,16.14447174
510,16.17191137
511,16.19954667
512,16.22737211
513,16.25538217
514,16.28357128
515,16.31193389
516,16.34046442
517,16.36915729
518,16.3980069
519,16.42700764
520,16.45615389
521,16.48543999
522,16.51486032
523,16.54440919
524,16.57408095
525,16.60386989
526,16.63377032
527,16.66377652
528,16.69388277
529,16.72408334
530,16.75437245
531,16.78474437
532,16.81519329
533,16.84571344
534,16.87629902
535,16.9069442
536,16.93764316
537,16.96839006
538,16.99917904
539,17.03000424
540,17.06085977
541,17.09173975
542,17.12263827
543,17.15354942
544,17.18446725
545,17.21538584
546,17.24629922
547,17.27720142
548,17.30808647
549,17.33894836
550,17.36978109
551,17.40057865
552,17.43133499
553,17.46204407
554,17.49269984
555,17.52329622
556,17.55382713
557,17.58428646
558,17.61466812
559,17.64496598
560,17.67517389
561,17.70528573
562,17.73529531
563,17.76519647
564,17.79498303
565,17.82464878
566,17.8541875
567,17.88359298
568,17.91285898
569,17.94197923
570,17.97094749
571,17.99975747
572,18.02840289
573,18.05687743
574,18.08517479
575,18.11328863
576,18.14121261
577,18.16894039
578,18.19646559
579,18.22378183
580,18.25088271
581,18.27776184
582,18.3044128
583,18.33082914
584,18.35700444
585,18.38293222
586,18.40860602
587,18.43401935
588,18.45916572
589,18.48403862
590,18.50863153
591,18.53293791
592,18.55695121
593,18.58066487
594,18.60407231
595,18.62716696
596,18.64994221
597,18.67239144
598,18.69450803
599,18.71628534
600,18.73771672
601,18.7587955
602,18.77951501
603,18.79986855
604,18.81984942
605,18.8394509
606,18.8587735
607,18.87792317
608,18.89690143
609,18.91570977
610,18.93434971
611,18.95282273
612,18.97113037
613,18.98927413
614,19.00725554
615,19.02507611
616,19.04273738
617,19.06024088
618,19.07758813
619,19.09478068
620,19.11182008
621,19.12870785
622,19.14544557
623,19.16203477
624,19.17847702
625,19.19477387
626,19.21092689
627,19.22693764
628,19.24280771
629,19.25853866
630,19.27413207
631,19.28958952
632,19.30491261
633,19.32010292
634,19.33516205
635,19.35009159
636,19.36489314
637,19.37956831
638,19.39411872
639,19.40854596
640,19.42285166
641,19.43703743
642,19.45110491
643,19.46505571
644,19.47889148
645,19.49261383
646,19.50622442
647,19.51972489
648,19.53311687
649,19.54640202
650,19.559582
651,19.57265846
652,19.58563307
653,19.59850747
654,19.61128336
655,19.62396239
656,19.63654625
657,19.64903661
658,19.66143515
659,19.67374357
660,19.68596356
661,19.6980968
662,19.710145
663,19.72210986
664,19.73399309
665,19.74579639
666,19.75752149
667,19.76917009
668,19.78074391
669,19.79224469
670,19.80367415
671,19.81503402
672,19.82632604
673,19.83755195
674,19.84871349
675,19.85981241
676,19.87085046
677,19.8818294
678,19.89275098
679,19.90361696
680,19.91442912
681,19.92518922
682,19.93589904
683,19.94656034
684,19.95717493
685,19.96774457
686,19.97827106
687,19.98875619
688,19.99920175
689,20.00960955
690,20.0199814
691,20.03031909
692,20.04062444
693,20.05089926
694,20.06114538
695,20.07136462
696,20.08155879
697,20.09172974
698,20.1018793
699,20.1120093
700,20.12212159
701,20.13221802
702,20.14230042
703,20.15237066
704,20.16243059
705,20.17248207
706,20.18252696
707,20.19236843
708,20.20181218
709,20.21086394
710,20.21952942
711,20.22781438
712,20.23572457
713,20.24326576
714,20.25044373
715,20.25726428
716,20.2637332
717,20.26985632
718,20.27563947
719,20.28108849
720,20.28620925
721,20.2910076
722,20.29548944
723,20.29966065
724,20.30352715
725,20.30709486
726,20.3103697
727,20.31335762
728,20.31606459
729,20.31849657
730,20.32065954
731,20.32255951
732,20.32420248
733,20.32559447
734,20.32674152
735,20.32764968
736,20.328325
737,20.32877356
738,20.32900144
739,20.32901475
740,20.32881958
741,20.32842207
742,20.32782836
743,20.32704458
744,20.32607691
745,20.32493152
746,20.32361459
747,20.32213233
748,20.32049094
749,20.31869666
750,20.31675572
751,20.31467437
752,20.31245889
753,20.31011553
754,20.3076506
755,20.3050704
756,20.30238123
757,20.29958944
758,20.29670135
759,20.29372333
760,20.29066173
761,20.28752295
762,20.28431336
763,20.28103938
764,20.27770742
765,20.27432391
766,20.2708953
767,20.26742805
768,20.26392861
769,20.26040347
770,20.25685913
771,20.2533021
772,20.24973889
773,20.24617603
774,20.24262008
775,20.23907759
776,20.23555514
777,20.2320593
778,20.22859668
779,20.22517388
780,20.22179752
781,20.21847426
782,20.21521072
783,20.21201358
784,20.20888951
785,20.20584519
786,20.20288733
787,20.20002264
788,20.19725784
789,20.19459968
790,20.1920549
791,20.18963027
792,20.18733258
793,20.1851686
794,20.18314514
795,20.18126902
796,20.17954707
797,20.17798613
798,20.17659306
799,20.17537471
800,20.17433799
801,20.17348977
802,20.17283696
803,20.17238649
804,20.17214529
805,20.1721203
806,20.17231849
807,20.17231533
808,20.17168872
809,20.17044925
810,20.16860751
811,20.16617413
812,20.16315977
813,20.1595751
814,20.15543082
815,20.15073763
816,20.14550627
817,20.13974752
818,20.13347214
819,20.12669095
820,20.11941477
821,20.11165445
822,20.10342087
823,20.09472491
824,20.0855775
825,20.07598956
826,20.06597207
827,20.055536
828,20.04469236
829,20.03345217
830,20.02182648
831,20.00982637
832,19.99746293
833,19.98474727
834,19.97169054
835,19.95830388
836,19.94459849
837,19.93058557
838,19.91627635
839,19.90168207
840,19.88681401
841,19.87168346
842,19.85630173
843,19.84068017
844,19.82483014
845,19.80876301
846,19.7924902
847,19.77602313
848,19.75937325
849,19.74255204
850,19.72557098
851,19.7084416
852,19.69117543
853,19.67378403
854,19.656279
855,19.63867193
856,19.62097445
857,19.60319822
858,19.58535491
859,19.56745622
860,19.54951385
861,19.53153956
862,19.5135451
863,19.49554226
864,19.47754286
865,19.45955871
866,19.44160167
867,19.42368362
868,19.40581645
869,19.38801208
870,19.37028246
871,19.35263955
872,19.33509533
873,19.31766183
874,19.30035106
875,19.28317508
876,19.26614597
877,19.24927584
878,19.23257679
879,19.21606098
880,19.19974057
881,19.18362776
882,19.16773474
883,19.15207377
884,19.13665709
885,19.12149699
886,19.10660576
887,19.09199573
888,19.07767925
889,19.06366869
890,19.04997644
891,19.03661491
892,19.02359654
893,19.0109338
894,18.99863915
895,18.98672512
896,18.97520422
897,18.96408901
898,18.95339205
899,18.94312595
900,18.93330332
901,18.92393681
902,18.91503906
903,18.90662278
904,18.89870067
905,18.89128546
906,18.8843899
907,18.87802677
908,18.87175391
909,18.86512524
910,18.85814772
911,18.85082828
912,18.84317391
913,18.83519159
914,18.8268883
915,18.81827107
916,18.80934691
917,18.80012287
918,18.790606
919,18.78080336
920,18.77072203
921,18.76036911
922,18.74975169
923,18.73887691
924,18.7277519
925,18.71638381
926,18.70477979
927,18.69294703
928,18.68089272
929,18.66862405
930,18.65614825
931,18.64347255
932,18.63060419
933,18.61755044
934,18.60431856
935,18.59091584
936,18.57734959
937,18.56362712
938,18.54975575
939,18.53574284
940,18.52159573
941,18.5073218
942,18.49292842
943,18.47842301
944,18.46381296
945,18.44910572
946,18.43430871
947,18.41942938
948,18.40447522
949,18.38945369
950,18.37437229
951,18.35923854
952,18.34405995
953,18.32884407
954,18.31359844
955,18.29833063
956,18.28304821
957,18.26775879
958,18.25246996
959,18.23718934
960,18.22192458
961,18.20668332
962,18.19147322
963,18.17630197
964,18.16117724
965,18.14610674
966,18.13109819
967,18.11615933
968,18.1012979
969,18.08652166
970,18.07183838
971,18.05725586
972,18.04278189
973,18.02842429
974,18.01419089
975,18.00008953
976,17.98612808
977,17.9723144
978,17.95865638
979,17.94516192
980,17.93183894
981,17.91869536
982,17.90573913
983,17.89297819
984,17.88042053
985,17.86807412
986,17.85594696
987,17.84404707
988,17.83238247
989,17.8209612
990,17.80979132
991,17.79888089
992,17.788238
993,17.77787074
994,17.76778722
995,17.75799558
996,17.74850393
997,17.73932045
998,17.7304533
999,17.72191065
1000,17.7137007
1001,17.70583166
1002,17.69831175
1003,17.69114922
1004,17.6843523
1005,17.67792927
1006,17.67188841
1007,17.66623801
1008,17.66098638
1009,17.65609796
1010,17.65152795
1011,17.64727073
1012,17.64332071
1013,17.63967224
1014,17.6363197
1015,17.63325745
1016,17.63047982
1017,17.62798116
1018,17.62575578
1019,17.62379799
1020,17.6221021
1021,17.62066239
1022,17.61947315
1023,17.61852865
1024,17.61782313
1025,17.61735085
1026,17.61710605
1027,17.61708294
1028,17.61727575
1029,17.61767867
1030,17.6182859
1031,17.61909162
1032,17.62009001
1033,17.62127521
1034,17.62264138
1035,17.62418266
1036,17.62589318
1037,17.62776704
1038,17.62979837
1039,17.63198125
1040,17.63430976
1041,17.63677798
1042,17.63937998
1043,17.64210979
1044,17.64496147
1045,17.64792904
1046,17.65100652
1047,17.65418792
1048,17.65746724
1049,17.66083846
1050,17.66429555
1051,17.66783248
1052,17.67144321
1053,17.67512167
1054,17.6788618
1055,17.68265751
1056,17.68650273
1057,17.69039134
1058,17.69431723
1059,17.69827428
1060,17.70225636
1061,17.70625732
1062,17.71027101
1063,17.71429125
1064,17.71831187
1065,17.72232669
1066,17.72632949
1067,17.73031408
1068,17.73427423
1069,17.7382037
1070,17.74209626
1071,17.74594565
1072,17.7497456
1073,17.75348984
1074,17.75717207
1075,17.76078601
1076,17.76432535
1077,17.76778375
1078,17.7711549
1079,17.77443244
1080,17.77761003
1081,17.7806813
1082,17.78363988
1083,17.78647938
1084,17.78919341
1085,17.79177554
1086,17.79421938
1087,17.79651848
1088,17.79866641
1089,17.80065671
1090,17.80248292
1091,17.80413857
1092,17.80561717
1093,17.80691223
1094,17.80801723
1095,17.80892567
1096,17.80963101
