M14;M15;O6;O14;O15;O16
-200;28;-200;70;57;-200
1307;280;638;422;448;532
1677;316;838;730;652;640
1751;352;958;818;805;730
1899;478;1038;994;1587;946
2232;676;1178;1258;1638;1072
2713;784;1298;1302;1910;1180
2972;820;1658;1434;2063;1432
3157;1108;1878;1500;2131;1486
3749;1252;1938;1742;2216;1612
3934;1414;2078;1830;2284;1666
4415;1576;2198;1940;2420;2188
4970;1612;2378;2050;2505;2260
5451;1648;2538;2248;2641;2566
6154;1720;2598;2468;2913;2656
6450;1936;2718;2622;3015;2800
6598;2008;2838;2754;3066;2926
6931;2080;2938;2886;3185;3322
7042;2260;3018;3062;3389;3700
7153;2314;3318;3414;3423;3790
7449;2386;3618;3568;3661;4474
7523;2476;3798;3788;3712;4618
7745;2656;3838;3832;3882;4762
7856;2746;4178;3942;4001;4960
7967;2782;4318;4118;4171;5860
8189;2962;4538;4228;4477;5896
8448;3214;4718;4272;4579;6112
8633;3250;4838;4360;4732;6166
8781;3430;5018;4514;4817;6292
13200;3592;5298;4690;5038;6328
;3682;5378;4800;5089;6400
;3808;5498;5042;5174;6490
;3844;5578;5152;5242;6796
;4006;5858;5306;5361;6868
;4204;5998;5350;5582;7174
;4258;6138;5592;5718;7246
;4420;6518;5680;5786;7318
;4492;6698;5988;5871;7426
;4564;6958;6054;5922;7750
;4618;7118;6098;6143;7966
;4852;7318;6208;6296;8848
;5014;7478;6604;6381;8992
;5104;7778;6736;6432;9082
;5140;7998;6934;6534;9244
;5392;8178;7044;6687;9442
;5680;8358;7220;6806;9586
;5752;8638;7308;6959;9640
;5788;8718;7462;7197;9910
;5860;8878;7594;7384;10216
;5896;8998;7726;7690;10378
;6220;9178;8078;7996;10558
;6310;9278;8254;8268;10720
;6472;9418;8408;8404;10882
;6562;9538;8672;8472;11098
;7012;9698;8826;8778;11458
;7174;9818;8936;8846;11530
;7372;10138;9002;8965;11584
;7408;10258;9046;9288;11692
;7462;10638;9112;9492;11800
;7534;10878;9310;9781;11908
;7768;10918;9354;9866;12016
;7894;11038;9486;10070;12178
;7984;11358;9530;10155;12304
;8218;12118;9706;10240;13200
;8596;13200;10146;10631;
;8632;;10344;11991;
;8722;;13200;12297;
;8758;;;12518;
;8902;;;13200;
;8992;;;;
;9154;;;;
;9190;;;;
;9460;;;;
;9532;;;;
;9622;;;;
;9676;;;;
;9856;;;;
;10090;;;;
;10144;;;;
;11296;;;;
;11440;;;;
;12160;;;;
;13200;;;;
