depths,Age,Depth,Age_OLD
570,-62,0,-62
580,-7,10,-5
590,143,20,123
600,335,30,195
610,561,40,349
620,760,50,648
630,969,60,871
640,1191,70,1022
650,1381,80,1350
660,1524,90,1416
670,1667,100,1505
680,1815,110,1614
690,1960,120,1738
700,2097,130,1869
710,2237,140,2030
720,2374,150,2216
730,2514,160,2403
740,2687,170,2494
750,2849,180,2597
760,3008,190,2726
770,3153,200,2886
780,3313,210,3050
790,3472,220,3255
800,3611,230,3516
810,3750,240,3676
820,3900,250,3764
830,4052,260,3880
840,4211,270,4005
850,4374,280,4140
860,4542,290,4284
870,4693,300,4439
880,4849,310,4665
890,4993,320,4906
900,5178,330,4991
910,5368,340,5100
920,5546,350,5224
930,5739,360,5427
940,5916,370,5603
950,6103,380,5847
960,6294,390,6156
970,6473,400,6384
980,6687,410,6492
990,6888,420,6651
1000,7095,430,6808
1010,7324,440,7015
1020,7535,450,7209
1030,7745,460,7505
1040,7951,470,7829
1050,8112,480,8045
1060,8283,490,8126
1070,8456,500,8243
1080,8635,510,8373
1090,8815,520,8531
1100,8987,530,8709
1110,9160,540,8900
1120,9327,550,9145
1130,9497,560,9397
1140,9708,570,9531
1150,9914,580,9701
1160,10129,590,9903
1170,10319,600,10207
1180,10483,610,10366
