,CODE,TaxonName
C,C1,Abies
C,C2,Juniperus
C,C3,Larix
C,C4,Picea
C,C5,Pinus
C,C6,Tsuga
D,D1,Acer
D,D2,Alnus
D,D3,Betula
D,D4,Carpinus
D,D5,Corylus
D,D6,Fraxinus
D,D7,Nyssa
D,D8,Populus
D,D9,Quercus
D,D10,Salix
D,D11,Tilia
D,D12,Ulmus
HS,HS1,Agoseris
HS,HS2,Ambrosia
HS,HS3,Artemesia
HS,HS4,Asteraceae
HS,HS5,Brassicaceae
HS,HS6,Carya
HS,HS7,Chenopodiaceae
HS,HS8,Cyperaceae
HS,HS9,Epilobium
HS,HS10,Ericaceae
HS,HS11,Galium
HS,HS12,Lycopod
HS,HS13,Myrica
HS,HS14,Phytolithe
HS,HS15,Poaceae
HS,HS16,Rosaceae
HS,HS17,Sarcobatus
HS,HS18,Thalictrum
HS,HS19,Typha
S,S1,Spore monolete 
S,S2,Spore trilete
A,A1,Aquatics
