Profondeur,Abies,Juniperus,Larix,Picea,Pinus,Tsuga,Acer,Alnus,Betula,Carpinus,Corylus,Fraxinus,Nyssa,Populus,Quercus,Salix,Tilia,Ulmus,Agoseris,Ambrosia,Artemesia,Asteraceae,Brassicaceae,Carya,Chenopodiaceae,Cyperaceae,Epilobium,Ericaceae,Galium,Lycopod,Myrica,Phytolithe,Poaceae,Rosaceae,Sarcobatus,Thalictrum,Typha,Spore monolete ,Spore trilete,Aquatics
570,1.095890411,0.273972603,1.917808219,16.71232877,53.69863013,0,0,1.917808219,8.219178082,0,0,0.547945205,0,0.547945205,1.369863014,0,0,0.273972603,0,1.369863014,1.369863014,1.369863014,0,0,1.095890411,1.095890411,0,0,0,0,0.547945205,0.273972603,1.369863014,0,0,0,0.273972603,0,0,0
580,0.906344411,0.302114804,0.604229607,13.89728097,62.23564955,0.302114804,0,0.604229607,10.57401813,0,0,0,0,0.604229607,0.604229607,0,0,0,0,1.510574018,0.906344411,1.208459215,0,0,0,1.208459215,0,0,0,0,0,0,1.208459215,0,0,0,0,0.604229607,0.302114804,0
590,0.840336134,0.840336134,1.680672269,14.00560224,59.3837535,0,0,0.56022409,9.523809524,0,0,0.280112045,0,0.56022409,1.120448179,0,0,0.56022409,0,0.56022409,1.960784314,0.840336134,0,0,0.280112045,0.840336134,0,0,0,0,0.280112045,0,1.400560224,0,0,0,0.280112045,0,0,0
600,1.056338028,0.264084507,2.64084507,12.14788732,52.81690141,0,0,5.545774648,13.20422535,0.264084507,0,0,0,0.264084507,1.848591549,0.264084507,0,0,0,0,2.112676056,0,0,0,0.792253521,0.792253521,0,0,0,0.264084507,0.528169014,0,1.584507042,0.264084507,0,0,0,0,0,0
610,1.744186047,0,1.744186047,16.69435216,55.31561462,0,0.249169435,0.996677741,9.219269103,0,0,0.49833887,0,0.249169435,0.996677741,0.249169435,0,0.49833887,0,0.249169435,0.996677741,0,0,0,0.249169435,0.747508306,0,0,0,0,0.49833887,0,4.235880399,0,0,0.249169435,0,0,0,0
620,1.666666667,0,0.833333333,10,56.11111111,0,0,3.888888889,13.33333333,0,0,0,0,0.833333333,0.833333333,0,0,0.833333333,0,0.833333333,1.944444444,1.111111111,0,0,0.555555556,1.388888889,0,0.277777778,0,0.277777778,0.555555556,0.277777778,1.944444444,0.277777778,0,0.277777778,0,0,0,0
630,0,0.283553875,1.984877127,15.02835539,55.0094518,0,0,0.283553875,11.05860113,0,0,0,0,0.850661626,1.984877127,0,0,1.417769376,0,0.283553875,1.417769376,0.850661626,0,0,0.56710775,0.850661626,0,0,0,0,0.283553875,0.283553875,3.686200378,0,0,0,0.56710775,0.283553875,0,0
640,0.281690141,0,1.690140845,10.42253521,59.43661972,0,0,1.408450704,12.95774648,0,0.281690141,0,0,0.845070423,1.690140845,0,0,1.126760563,0,0.281690141,1.690140845,0,0,0,0.281690141,1.408450704,0,0,0,0,1.408450704,0,1.408450704,0,0,0.281690141,0.281690141,0.281690141,0,0.563380282
650,0.575263663,0,0.862895494,10.35474593,56.37583893,0,0,3.451581975,11.79290508,0,0,0.287631831,0,1.150527325,2.588686481,0.287631831,0,0.862895494,0,0,1.150527325,0.862895494,0,0,0,2.876318313,0,0.575263663,0,0.287631831,0.287631831,0,3.739213806,0,0.287631831,0,0.862895494,0.862895494,0,0.575263663
660,1.627486438,0,1.627486438,13.83363472,47.73960217,0,0,1.898734177,18.44484629,0,0,0,0,0.27124774,1.627486438,0.27124774,0,0.27124774,0,1.627486438,1.356238698,0.813743219,0,0,0.542495479,1.084990958,0,0,0,0,0.27124774,0,3.254972875,0,0,0,0.542495479,0,0,0.27124774
670,0.27173913,0,1.086956522,7.336956522,57.33695652,0,0,5.434782609,11.41304348,0,0,0,0,1.358695652,1.902173913,0,0,0,0,0.27173913,1.358695652,0.815217391,0,0,1.086956522,0.543478261,0,0,0,0,0.543478261,0,4.347826087,0,0,0,0,0,0,0
680,0.571973308,0,1.42993327,10.00953289,49.18970448,0,0,3.145853194,18.58913251,0,0,0,0,1.143946616,3.717826501,0,0,0.285986654,0,0.571973308,1.42993327,2.001906578,0,0,0.285986654,1.143946616,0,0,0,0,0.571973308,0,2.573879886,0,0,0,0.571973308,0,0,0.285986654
690,0.268336315,0.268336315,2.146690519,9.123434705,54.47227191,0,0.805008945,1.610017889,12.07513417,0,0,0,0,0.805008945,2.415026834,0,0,0.53667263,0,0.268336315,1.073345259,1.341681574,0,0,0.53667263,0.268336315,0,0,0,0.53667263,1.341681574,0.805008945,5.635062612,0,0,0,0,0,0,0
700,1.366120219,0,1.092896175,6.284153005,54.91803279,0,0,3.005464481,13.66120219,0,0.273224044,0,0,0.546448087,1.366120219,0.273224044,0,0.546448087,0,0,3.551912568,0.546448087,0,0,0.273224044,0.273224044,0,0,0,0,0,0,7.650273224,0,0,0,0,0,0,0.273224044
710,2.234636872,0.279329609,0.837988827,9.217877095,53.91061453,0,0.279329609,3.072625698,12.29050279,0,0,0,0,1.955307263,1.955307263,0,0,0.279329609,0,0.279329609,0.837988827,0.558659218,0,0,0.558659218,0.279329609,0,0.279329609,0,0.558659218,0.558659218,0,5.865921788,0,0,0,0,0.558659218,0,0.558659218
720,1.084990958,0,0.813743219,4.611211573,65.91320073,0,0,1.084990958,14.64737794,0,0.27124774,0,0,0.542495479,0.542495479,0,0,0.27124774,0,0.27124774,1.356238698,0.542495479,0,0,0,0.542495479,0,0,0,0,0.813743219,0,3.797468354,0,0.27124774,0,0.813743219,0,0.27124774,0
730,0.253164557,0,1.518987342,3.797468354,51.39240506,0,0,4.810126582,14.17721519,0,0,0.253164557,0,1.012658228,2.025316456,0,0,1.012658228,0,0.759493671,0.759493671,0.253164557,0,0,0.506329114,1.518987342,0,0,0,0,1.012658228,0,10.63291139,0,0,0,0.506329114,0,0,0.253164557
740,0.512382579,0,2.561912895,7.685738685,45.85824082,0,0,3.842869342,16.39624253,0,0,0.256191289,0,0.768573868,2.049530316,0,0,0,0,0.512382579,1.537147737,0.768573868,0,0,0.256191289,1.537147737,0,0,0,0,0.768573868,0.256191289,10.76003416,0,0,0,0,0,0.256191289,0
750,0.795755968,0,1.326259947,8.222811671,55.43766578,0,0,2.652519894,13.79310345,0,0.265251989,0,0,0,1.856763926,0,0,1.326259947,0.265251989,0.530503979,0.530503979,0.795755968,0,0,0.265251989,0.265251989,0,0,0,0,0,0,7.692307692,0,0.265251989,0.265251989,0,0,0,0
760,0,0,0.622406639,8.713692946,33.29875519,0,0,8.091286307,23.9626556,0,0.31120332,0.933609959,0,1.556016598,2.800829876,0.933609959,0,0.31120332,0,0.31120332,2.178423237,0.622406639,0,0.31120332,0.933609959,0.31120332,0,0,0,0,0.31120332,0,8.713692946,0.31120332,0,0,0,0,0,0
770,0.313152401,0,1.565762004,6.263048017,46.65970772,0,0,4.697286013,17.84968685,0,0,0.626304802,0,0.313152401,2.192066806,0,0,1.878914405,0,0.313152401,0.626304802,0,0,0,0.313152401,0,0,0.313152401,0,0,0.626304802,0.313152401,11.27348643,0,0.313152401,0,0,0,0,0
780,0,0.616649538,0.924974306,5.858170606,51.49023639,0,0,7.091469681,17.26618705,0,0.308324769,0,0,0.924974306,2.158273381,0.616649538,0,0.616649538,0,1.541623844,2.774922919,1.541623844,0,0,0,0.924974306,0,0,0,0,0.308324769,0,2.774922919,0.308324769,0,0.308324769,0.308324769,0,0,0.308324769
790,0,0,1.093892434,8.477666363,56.88240656,0,0,1.640838651,13.12670921,0,0,0,0,0.273473108,3.55515041,0.273473108,0,1.093892434,0,2.187784868,0.546946217,0.820419325,0,0,0,1.367365542,0,0,0,0,0.273473108,0,4.922515953,0,0,0,0.273473108,0,0,0
800,0,0.585365854,0,2.048780488,54.73170732,0,0,3.804878049,18.43902439,0,0.292682927,0,0,0,2.926829268,0.292682927,0.292682927,0.585365854,0,2.341463415,1.756097561,1.756097561,0,0,0.292682927,1.170731707,0,0,0,0.292682927,0.585365854,0,4.390243902,0,0,0,0.292682927,0,0,0
810,0,0,0,3.753910323,59.74973931,0,0,5.318039625,11.57455683,0,0,0,0,0.625651721,3.128258603,0,0,0.31282586,0,0.625651721,0.938477581,0.31282586,0,0,0.31282586,0.31282586,0,0,0,0,0.938477581,0,5.318039625,0,0,0,0.31282586,0.31282586,0,0
820,0,0.309597523,0,3.405572755,64.70588235,0,0,3.095975232,12.38390093,0,0,0,0,0,3.405572755,0.619195046,0,0,0,0.92879257,0.92879257,0.309597523,0,0,0,0.619195046,0,0,0,0,0,0.309597523,4.334365325,0,0,0,0.619195046,0,0,0.619195046
830,0,0,0,3.203883495,63.49514563,0,0,2.038834951,13.39805825,0,0.291262136,0.291262136,0,1.747572816,2.038834951,0,0,0.873786408,0.291262136,0.582524272,1.165048544,0.582524272,0,0,0.582524272,1.165048544,0,0,0,0,0.873786408,0,3.203883495,0,0,0,0,0,0,0
840,0,0,0,1.849948613,58.89003083,0,0,6.783144913,18.80781089,0,0.308324769,0,0,1.233299075,0.924974306,0.924974306,0,0,0,1.541623844,1.541623844,0.308324769,0,0,0.616649538,1.233299075,0,0,0,0,0.616649538,0,1.541623844,0.308324769,0,0,0.308324769,0,0,0
850,0,0,0.293829579,3.525954946,65.23016651,0,0,1.762977473,14.39764936,0,0,0,0,1.469147894,2.056807052,0.293829579,0,0.587659158,0,0.587659158,1.175318315,1.175318315,0,0.293829579,0.293829579,1.469147894,0,0,0,0,0,0,2.350636631,0,0,0,0.881488737,0,0,0.881488737
