,CODE,TaxonName
C,C1,Abies
C,C2,Juniperus/Thuja
C,C3,Larix
C,C4,Picea
C,C5,Pinus
C,C6,Tsuga
C,D1,Acer
D,D2,Alnus
D,D3,Betula
D,D4,Carpinus
D,D6,Corylus
D,D7,Fraxinus
D,D8,Juglans
D,D9,Populus
D,D10,Prunus
D,D11,Quercus
D,D12,Salix
D,D13,Tilia
D,D14,Ulmus
HS,HS1,Agoseris
HS,HS2,Ambrosia
HS,HS3,Artemesia
HS,HS4,Asteraceae
HS,HS5,Carya
HS,HS6,Chenopodiaceae
HS,HS7,Cyperaceae
HS,HS8,Epilobium
HS,HS9,Ericaceae
HS,HS10,Galium
HS,HS11,Ilex
HS,HS12,Liguliflorae
HS,HS13,Lycopode
HS,HS14,Myrica
HS,HS15,Oxyria
HS,HS16,Phytolithe
HS,HS17,Poaceae
HS,HS18,Polygonum spp
HS,HS19,Potentille
HS,HS20,Primula
HS,HS21,Rosaceae
HS,HS22,Sarcobatus
HS,HS23,Saxifraga
HS,HS24,Stachys
HS,HS25,Taxus
HS,HS26,Thalictrum
HS,HS27,Typha l.
HS,HS28,Umbelliferae
A,A1,Aquatics
