Profondeur,Abies,Juniperus/Thuja,Larix,Picea,Pinus,Tsuga,Acer,Alnus,Betula,Carpinus,Corylus,Fraxinus,Juglans,Populus,Prunus,Quercus,Salix,Tilia,Ulmus,Agoseris,Ambrosia,Artemesia,Asteraceae,Carya,Chenopodiaceae,Cyperaceae,Epilobium,Ericaceae,Galium,Ilex,Liguliflorae,Lycopode,Myrica,Oxyria,Phytolithe,Poaceae,Polygonum spp,Potentille,Primula,Rosaceae,Sarcobatus,Saxifraga,Stachys,Taxus,Thalictrum,Typha l.,Umbelliferae,Aquatics
390,1.827411168,0.913705584,1.827411168,12.18274112,54.82233503,0,0,3.959390863,14.01015228,0,0,0,0,0.609137056,0,0.913705584,0.913705584,0,0.609137056,0,0.913705584,0.913705584,0.304568528,0,0,0.304568528,0,0.609137056,0,0,0,0,0,0,0,1.827411168,0,0,0,0,0,0,0,0,0,0,0.304568528,1.52284264
400,0.619834711,0.929752066,3.099173554,6.818181818,54.54545455,0,0,5.888429752,12.39669421,0,0.309917355,0.619834711,0,0.619834711,0,1.549586777,0.619834711,0,0.619834711,0,1.549586777,2.169421488,0.309917355,0,0.619834711,0.619834711,0,0,0,0,0,0,0,0,0,3.099173554,0,0,0,0,0,0,0,0,0,0,0,0.929752066
410,0,0.32537961,1.301518438,7.15835141,51.40997831,0,0,9.436008677,17.89587852,0,0,0,0,0.976138829,0,2.603036876,0.32537961,0,0,0,1.301518438,1.626898048,0.32537961,0,0,1.301518438,0,0,0,0,0,0,0,0,0,0.976138829,0,0,0,0,0,0,0,0,0,0.32537961,0,0.32537961
420,0.331125828,0,1.655629139,8.278145695,58.94039735,0,0,8.940397351,11.25827815,0,0,0,0,0,0,2.649006623,0.662251656,0,0,0,0.331125828,0.993377483,0.331125828,0,0.331125828,0.993377483,0,0,0,0,0,0,0,0,0,2.317880795,0,0,0,0,0,0,0,0,0,0.331125828,0,0.662251656
430,0.619195046,0,2.786377709,10.21671827,51.39318886,0,0,5.263157895,17.02786378,0,0.309597523,0,0,1.547987616,0,1.238390093,0,0,0.92879257,0,0,0.92879257,1.547987616,0,0,2.167182663,0,0,0,0,0,0,0,0,0,2.476780186,0,0,0,0,0,0,0,0,0,0.309597523,0,1.238390092
440,0,0,1.572327044,5.34591195,54.08805032,0,0,5.34591195,16.98113208,0,0.314465409,0,0,1.257861635,0,1.572327044,0.628930818,0,0.314465409,0,0.628930818,2.51572327,0.628930818,0,0.628930818,0.628930818,0,0,0,0,0,0,0,0.314465409,0,3.773584906,0,0,0,0,0,0,0.314465409,0,0.314465409,0.314465409,0,0.943396227
450,0.938477581,0,2.502606882,11.26173097,52.55474452,0,0,5.318039625,17.20542231,0,0,0.938477581,0,0.625651721,0,1.876955162,0.625651721,0,0,0,0,2.189781022,0.31282586,0,0,0.938477581,0,0.31282586,0,0,0,0,0,0,0,0.938477581,0,0,0,0,0,0,0,0,0,0,0,0.62565172
460,1.372369625,0,1.372369625,8.783165599,53.52241537,0,0,3.84263495,18.6642269,0,0,0.54894785,0,0.54894785,0,0.823421775,0,0,0.823421775,0,1.0978957,1.64684355,1.0978957,0.274473925,0,1.372369625,0,0.274473925,0,0,0,0,0,0,0,1.64684355,0,0,0,0,0,0,0,0,0,0,0,0.274473925
470,1.524390244,0,1.524390244,11.2804878,55.48780488,0,0,1.524390244,17.98780488,0,0,0,0.304878049,1.829268293,0,0.914634146,0,0,0.304878049,0,0.914634146,0.914634146,0.609756098,0,0,0.914634146,0,0.304878049,0,0,0,0,0,0.304878049,0,1.219512195,0,0,0,0,0.304878049,0,0,0,0,0,0,0.304878049
480,0.861244019,0.28708134,2.296650718,8.038277512,52.82296651,0,0,3.157894737,13.77990431,0,0,0.574162679,0.28708134,1.148325359,0,2.009569378,0.28708134,0,1.435406699,0,1.148325359,1.435406699,0.574162679,0,0.574162679,1.722488038,0,0,0,0,0,0.28708134,0,0,0,2.870813397,0,0,0,0,0,0,0,0,0.28708134,0.28708134,0,0
500,0.612870276,0.612870276,0,5.515832482,54.54545455,0,0,7.967313585,16.24106231,0,0,0,0,0.919305414,0,1.532175689,0.612870276,0,0,0,0.306435138,0.919305414,0,0,1.225740552,0.919305414,0,0.306435138,0,0,0,0,0,0.612870276,0,0.306435138,0,0,0,0,0,0,0,0,0,0,0,0
510,0.847457627,0,0.282485876,5.93220339,52.54237288,0,0,4.237288136,17.79661017,0,0,0,0,0.282485876,0,1.129943503,0.282485876,0,0.282485876,0,0.847457627,1.694915254,0.564971751,0,0,0.847457627,0,0,0,0,0,0.564971751,0,0.282485876,0,3.107344633,0,0,0,0,0,0,0,0,0,0.564971751,0,0
520,0.915564598,0.305188199,0.915564598,4.272634791,52.4923703,0,0,5.798575788,17.70091556,0,0,0,0,1.525940997,0,1.831129196,0,0,0.305188199,0,0.305188199,0.915564598,0.305188199,0,0,0.305188199,0,0,0,0,0,0,0,0,0,4.272634791,0,0,0,0,0,0,0.305188199,0,0,0.305188199,0,0.610376399
530,0,0.308959835,1.853759011,3.707518023,50.36045314,0,0,4.943357364,20.39134912,0,0,0,0,0.308959835,0,3.089598352,0.61791967,0,0,0,1.544799176,1.235839341,0.308959835,0,1.235839341,1.235839341,0,0,0,0,0,0.308959835,0,0,0,1.235839341,0,0,0,0,0,0.308959835,0,0,0,0.308959835,0,0.308959835
540,0.543478261,0,2.445652174,5.706521739,47.01086957,0,0.543478261,3.804347826,19.56521739,0,0.27173913,1.086956522,0,1.358695652,0,2.717391304,0,0,0,0,0.815217391,1.630434783,0.543478261,0,0.27173913,1.086956522,0,0.27173913,0,0,0,0,0,0,0,2.989130435,0,0,0,0,0,0,0,0.27173913,0,0.27173913,0,0.27173913
550,0.903614458,0.602409639,0.301204819,0.903614458,41.86746988,0,0,9.036144578,23.79518072,0,0,0.301204819,0,1.506024096,0,3.313253012,0,0,0.903614458,0,1.506024096,1.807228916,0.602409639,0,0.602409639,1.506024096,0,0,0,0,0,0,0,0,0,3.012048193,0,0,0,0,0,0,0,0,0,0,0,0
560,1.169590643,0,0.292397661,5.263157895,50.29239766,0,0,4.385964912,18.12865497,0,0,0,0.292397661,1.169590643,0,3.50877193,0.584795322,0,0.584795322,0,1.169590643,1.169590643,0,0,0,1.461988304,0,0.292397661,0.292397661,0,0,0,0,0,0,2.046783626,0,0,0,0,0.292397661,0,0,0,0,0,0,0.584795322
570,0.850661626,0,1.417769376,1.984877127,56.71077505,0,0,3.686200378,15.87901701,0,0,0.283553875,0.283553875,1.984877127,0,3.119092628,0,0,0.283553875,0,1.134215501,1.417769376,0.283553875,0,0.283553875,1.417769376,0,0,0,0,0,0.283553875,0,0.283553875,0,1.701323251,0,0,0,0,0,0,0,0,0,0.283553875,0,0.56710775
580,0,0,0,5.408271474,45.81124072,0,0,2.226935313,22.58748674,0,0,0.318133616,0,1.272534464,0,5.090137858,0,0,0.318133616,0,0.636267232,1.590668081,1.272534464,0,0.318133616,1.272534464,0,0.636267232,0,0,0,0,0,0,0,3.817603393,0,0,0,0,0,0,0,0,0,0,0.318133616,0.636267232
590,0.317124736,0,0,5.391120507,55.17970402,0,0,3.805496829,21.56448203,0,0,0,0,0.317124736,0,1.268498943,0,0,0.634249471,0,0.317124736,1.902748414,0.634249471,0,0.634249471,0.317124736,0,0,0,0,0,0,0,0,0,1.902748414,0,0,0,0,0,0,0,0,0,0.317124736,0,0.634249471
600,0,0.29211295,0.584225901,2.044790652,51.41187926,0,0,5.550146056,19.57156767,0,0,0,0,2.336903603,0,1.460564752,0,0,0.876338851,0,0.584225901,2.629016553,0.29211295,0,0.29211295,0.29211295,0,0,0,0,0,0,0,0,0,4.965920156,0,0,0,0,0,0,0,0,0,0,0,0.29211295
610,0,0,0.668896321,3.344481605,41.47157191,0,0,11.0367893,22.74247492,0,0,0,0,1.337792642,0,4.013377926,1.337792642,0,0.334448161,0,1.003344482,1.337792642,1.003344482,0,0.334448161,0,0,0,0,0,0,0,0,0,0,2.341137124,0,0,0,0,0,0,0.334448161,0,0,0.334448161,0,0.334448161
