depths,Age,Depth
1,-62,1
2,38,101
3,138,201
4,238,301
5,338,401
6,438,501
7,538,601
8,638,701
9,738,801
10,838,901
11,938,1001
12,1038,1101
13,1138,1201
14,1238,1301
15,1338,1401
16,1438,1501
17,1538,1601
18,1638,1701
19,1738,1801
20,1838,1901
21,1938,2001
22,2038,2101
23,2138,2201
24,2238,2301
25,2338,2401
26,2438,2501
27,2538,2601
28,2638,2701
29,2738,2801
30,2838,2901
31,2938,3001
32,3038,3101
33,3138,3201
34,3238,3301
35,3338,3401
36,3438,3501
37,3538,3601
38,3638,3701
39,3738,3801
40,3838,3901
41,3938,4001
42,4038,4101
43,4138,4201
44,4238,4301
45,4338,4401
46,4438,4501
47,4538,4601
48,4638,4701
49,4738,4801
50,4838,4901
51,4938,5001
52,5038,5101
53,5138,5201
54,5238,5301
55,5338,5401
56,5438,5501
57,5538,5601
58,5638,5701
59,5738,5801
60,5838,5901
61,5938,6001
62,6038,6101
63,6138,6201
64,6238,6301
65,6338,6401
66,6438,6501
67,6538,6601
68,6638,6701
69,6738,6801
70,6838,6901
71,6938,7001
72,7038,7101
73,7138,7201
74,7238,7301
75,7338,7401
76,7438,7501
77,7538,7601
78,7638,7701
79,7738,7801
80,7838,7901
81,7938,8001
82,8038,8101
83,8138,8201
84,8238,8301
85,8338,8401
86,8438,8501
87,8538,8601
88,8638,8701
89,8738,8801
90,8838,8901
91,8938,9001
92,9038,9101
93,9138,9201
94,9238,9301
95,9338,9401
96,9438,9501
97,9538,9601
98,9638,9701
99,9738,9801
100,9838,9901
101,9938,10001
102,10038,10101
103,10138,10201
104,10238,10301
105,10338,10401
