Profondeur,Abies,Cupressaceae,Larix,Picea,Pinus,Alnus,Betula,Fraxinus,Populus,Quercus,Salix,Ulmus,Ambrosia,Artemisia,Asteraceae,Chenopodium,Cyperaceae,Myrica,Poacea,Typha,Aquatics
-62,1.418909387,0.710853359,1.248406462,12.67631754,56.01429957,3.228284346,11.6617528,0,0.385694087,1.374822889,0.526785099,0.294369886,1.237380414,1.713570485,0.558143847,0.990299908,0.466819646,0.182648402,1.461327937,0.091324201,1.020427672
38,0.918815873,1.134484548,1.276717035,10.07393365,58.4055133,3.676746884,12.33074555,0.179617094,0.41861117,1.344748764,0.416004301,0.242350521,1.379021441,2.072084067,0.465576806,0.835986912,0.597897261,0.031366713,1.947974869,0.04553735,0.796409736
138,0.880739261,1.322316291,1.28055601,10.13023779,56.98116504,4.638059535,13.32741407,0.075792184,0.447987549,1.622683103,0.366681838,0.223629097,1.053186553,2.190147817,0.328324544,0.845049932,0.627257492,0.11059686,1.743873695,0.14259154,0.695174819
238,1.148041867,0.892564288,1.2351673,10.24002588,55.60163341,5.841065116,13.99057975,0,0.399611035,1.864939561,0.334958712,0.046382189,0.76915847,1.935255096,0.108532915,0.909130572,0.689842342,0.173279939,1.679930191,0.108532915,0.625555601
338,1.530381025,0.645015312,1.057757138,11.39786283,56.90551765,4.716362303,12.29031613,0,0.350425092,1.682706933,0.350818978,0.154247745,0.660690762,1.547156898,0.108803453,0.858231572,0.665649653,0.166823198,2.200277701,0.108803453,0.641415867
438,1.772521221,0.448339758,0.962705532,11.01565457,57.80697692,4.754964763,11.76591312,0,0.36207292,1.648380602,0.366679244,0.19935098,0.562183402,1.468082442,0.219318014,0.942352181,0.713714251,0.171789975,1.982507405,0.10907399,0.657276132
538,1.898210776,0.36502816,0.877833072,10.40225739,58.44541728,4.990449222,11.54352555,0,0.381239529,1.645574582,0.38253951,0.236697074,0.504296359,1.452878869,0.34345824,0.995932323,0.770709525,0.178168646,1.712898621,0.109344528,0.673136398
638,1.672465377,0.661350465,0.792960612,9.644041657,58.32767961,5.414206874,11.87665517,0,0.400406137,1.689709523,0.398399776,0.274043168,0.586062154,1.528711711,0.467598467,0.882066731,0.827704799,0.184547318,1.582943716,0.109615065,0.688996664
738,1.230282594,0.995819032,0.954394263,10.23396042,57.98192096,5.062753469,11.49098464,0,0.363292143,1.905149741,0.414260042,0.356401461,0.535254825,1.438597755,0.445217926,0.739014164,0.747940252,0.148593031,1.917215714,0.186178125,0.70485693
838,0.764051214,1.334526072,1.143195258,10.97367191,57.61082664,4.625165502,11.02544743,0,0.31992475,2.139623879,0.430120307,0.443761108,0.469717149,1.330045266,0.4065573,0.5927186,0.652980168,0.107935082,2.30306848,0.271218132,0.720717196
938,0.551451205,1.294410228,1.188510805,10.41031643,57.9843692,4.79584517,11.33484515,0,0.308191652,2.167490714,0.43207294,0.444827592,0.437265932,1.372482857,0.288131495,0.483430298,0.716487658,0.260893428,2.143279083,0.256842964,0.826367173
1038,0.5088968,0.774978884,1.218306885,9.308017601,57.96871087,5.18613545,12.63444709,0,0.446146553,2.005316825,0.374735134,0.466990145,0.403671108,1.542009542,0.249779736,0.45561245,0.945414665,0.451258871,1.772571015,0.211504415,0.980910382
1138,0.439169617,0.308127066,1.232137545,9.053991253,56.87083457,5.542249234,13.48245194,0,0.611213823,1.974501137,0.317397328,0.520589531,0.346375159,1.61496569,0.442828366,0.456673003,1.196216357,0.337354514,2.023194707,0.268706078,1.032000158
1238,0.369442434,-0.158724752,1.245968204,8.799964904,55.77295826,5.898363018,14.33045679,0,0.776281093,1.943685449,0.260059522,0.574188916,0.289079209,1.687921839,0.635876997,0.457733555,1.447018048,0.223450157,2.273818399,0.32590774,1.083089934
1338,0.258471211,-0.016048335,1.16281257,8.750436557,55.37139978,5.702021896,14.11908465,0,0.880557237,1.971915787,0.255216027,0.568214006,0.219019127,1.624311182,0.744882472,0.501677047,1.582555423,0.1095458,2.643316401,0.383998549,1.101741718
1438,0.280693177,0.251471216,1.175696317,8.830335665,53.92951701,5.179048233,15.13365727,0,0.636019048,1.736640552,0.352273252,0.250626646,0.676546328,1.797638776,0.59731321,0.879513236,0.721343561,0.112846893,2.867377804,0.240337629,0.932674251
1538,-0.218670142,0.518990766,0.934654039,7.14806879,56.10174241,5.511037998,13.4887591,0.013733818,0.841261989,2.03551604,0.43181219,0.129080909,0.370141254,1.867728481,0.596514434,1.064209954,0.455930703,0.184035067,3.15208383,0.157941947,0.851489987
1638,-0.078963194,0.871342944,1.1362422,8.22896138,54.4239807,4.549736841,14.51082123,0.090032809,0.718084771,2.398217496,0.431545597,0.18615575,0.348325774,1.737134389,0.804025121,0.812442502,0.564164514,0.240316367,2.81151201,0.228409842,0.873674194
1738,0.302185764,1.461072238,1.404551387,8.042310813,54.99472232,3.824055836,13.50262154,0.166331799,0.575573314,2.072769045,0.431279003,0.22797816,0.319090096,1.614778027,0.600845691,0.556958138,0.353951804,0.447227191,3.610953399,0.049087283,0.770963175
1838,1.044291897,1.910389153,1.212042839,7.371395146,54.25884409,3.866309253,14.64907631,0.242630789,0.458382567,1.830638202,0.43101241,0.20489926,0.303198306,2.218957361,0.372796613,0.167049807,0.380361904,0.105832389,4.100272443,0.02352099,0.814652946
1938,1.48978024,1.944654781,1.131641582,7.850849426,53.88828816,4.161998212,14.65618159,0.302333477,0.589899435,1.753364119,0.413914573,0.166169291,0.231850462,2.063480656,0.309315759,0.198109348,0.416460093,0.07980846,3.590396195,0,0.843755833
2038,1.921354497,1.993855695,0.740404299,7.568377428,54.06011768,3.86794808,14.85821432,0.168662238,0.847896002,1.449540633,0.222216571,0.353940698,0.538487703,1.446579364,0.539219158,0.312775937,0.542398473,0.189876858,3.192567959,0.011666569,0.783308207
2138,1.905104495,1.943796626,0.780123155,7.385718653,56.62467276,3.073975927,15.08452902,0.009546919,0.965811301,1.14741304,0.222216571,0.202189805,0.405855969,1.405283226,0.394832691,0.280965233,0.456883865,0.235590836,2.463823042,0.157498688,0.692002857
2238,1.91802587,1.594631179,0.997565909,6.737024683,56.71628272,3.514128868,14.15513719,0.141656934,0.64102401,1.365727095,0.293045038,0.50003993,0.662573314,1.481084629,0.36395597,0.369850657,0.723316707,0.279048328,3.109693576,0.330020752,0.446586772
2338,2.061305351,1.254584597,0.843599914,6.789337878,53.74293955,5.252415176,13.871217,0.104745894,0.631293361,1.752794657,0.367072195,0.513514302,0.849843166,1.238421901,0.22265727,0.608159715,0.846150043,0.314505549,4.394748257,0.256767709,0.353827526
2438,1.743896061,1.62760477,0.645330646,6.617274274,50.93968369,6.446195715,14.79014905,0,0.600762498,1.871058247,0.420316028,0.213017893,0.761715518,1.150022534,0.161052558,0.688445548,0.813746247,0.306259876,4.953942342,0.114448638,0.256388668
2538,1.279575607,2.345256638,0.711172079,6.806187842,50.11508951,5.710431767,15.49492112,0,0.378450256,1.808908389,0.38773374,0.222004245,0.689152764,1.24269058,0.326365271,0.449459502,0.629274507,0.14675035,4.897225015,0.066303391,0.120663429
2638,0.691533319,3.062908506,0.428528474,6.27558451,48.54526317,5.691495666,16.69553653,0,0.333746494,1.832451316,0.355151452,0.395558613,0.644925741,1.301559403,0.368907341,0.333031568,0.384203275,0.032969861,4.773721237,0.122020526,0.036869381
2738,0.37481417,3.106732076,0.319921595,6.096851868,43.31859813,6.570753062,19.40446739,0,0.593695069,1.992235698,0.322569164,0.231796048,0.614226981,1.713967223,0.369646375,0.360326942,0.379786493,0.111611977,5.332809417,0.177737661,0.102562692
2838,0.613580333,2.71663035,0.618318421,5.42913747,46.14200527,6.202007932,18.48561815,0,0.512512107,1.964833692,0.273287464,0.567158718,0.542051477,1.28625834,0.210936581,0.282503739,0.230887142,0.177258119,6.011302337,0.148695918,0.37881862
2938,0.779001594,2.411823727,0.763329477,4.927058457,48.05567309,6.564389004,18.14680213,0,0.672576493,2.032447003,0.224815602,0.593340442,0.579261345,1.21858377,0.264681117,0.266964952,0.203405322,0.175160622,5.481924349,0.134332434,0.703636202
3038,0.657176755,2.672050533,0.731741536,4.745179261,48.77458401,7.17930503,18.09707058,0,0.668961963,2.157909562,0.344985058,0.304691249,1.018433636,1.80724198,0.578415893,0.402867931,0.489268497,0.110530534,3.414838847,0.197396667,0.714882623
3138,0.553265011,2.910483227,0.838936427,4.970006807,49.36197731,6.601271893,17.38438644,0,0.462692936,2.489294813,0.482584095,0.310101422,1.349012292,1.730142865,0.513216328,0.593264214,0.672990624,0.097788019,3.195528129,0.200326476,0.562797977
3238,0.456991131,3.121843501,0.96505625,5.255821524,49.93676591,5.858490256,16.60516369,0,0.228789205,2.848760431,0.620183133,0.355610599,1.662236251,1.557165714,0.396343897,0.79129836,0.842784425,0.092121082,3.225403703,0.195056136,0.397177122
3338,0.759488677,3.790567714,0.92845403,4.916087494,47.94731303,6.005835587,16.48950805,0.312692417,0.52437236,2.751537049,0.444443738,0.367796082,1.53711185,1.817513695,0.557538793,0.507076515,0.823731092,0.12421913,4.070331684,0.166611231,0.265724578
3438,1.034752025,4.834852999,0.208734738,3.024537857,46.29713316,7.444414618,17.22067763,0.078616352,0.504917327,2.846420197,0.486740255,0.523925345,1.719044507,1.973586095,0.649389232,0.5158202,0.908655001,0.164052176,4.363902311,0.095647354,0.143028933
3538,1.248324891,5.559443469,0.148894164,3.362141853,48.20991699,6.568669878,15.17317129,0.012958107,0.455796967,2.826284738,0.612650995,0.363795899,1.566284259,1.901477606,0.532174008,0.327220434,0.836231895,0.211306239,4.510847817,0.111442301,0.203280963
3638,1.178463896,5.129860119,0.451413443,2.652780605,52.0991977,6.087255596,13.07030488,0.089182267,0.805304109,2.763496683,0.403090765,0.22603785,1.143218258,1.68566335,0.307716563,0.400200584,0.645614701,0.284871182,4.822075983,0.191862905,0.189368747
3738,0.978561732,4.719931448,0.149421772,3.230696083,52.60562523,4.653792983,14.20374568,0.102400105,0.560870699,3.286519674,0.333911901,0.133208713,0.90207811,1.538084163,0.423464474,0.341546392,0.615710401,0.092425822,5.327383149,0.20610998,0.350217229
3838,0.926804077,4.248292441,0,3.318339718,54.11595192,3.559385248,15.08388221,0.068028572,0.681620008,2.774261638,0.27573725,0.329624545,0.70535611,1.518226268,0.509140427,0.476027172,0.632480341,0.185805156,5.171320803,0.112625845,0.286578398
3938,0.982545664,3.757743917,0,2.920497964,56.44306115,3.911794797,15.87455933,0.001333894,0.612697423,1.635851248,0.232958669,0.366207562,0.687657301,1.567233731,0.365857972,0.622916767,0.508619753,0.251491633,4.502339096,0.152066146,0.211424951
4038,0.795650246,3.16005311,0.123341215,2.469535189,55.75090247,5.22930134,16.71385394,0,0.87966818,1.545719108,0.367234903,0.300488647,0.82539214,1.873407227,0.326624604,0.608765068,0.531769771,0.155304328,4.208947391,0.201230167,0.225030771
4138,0.60962742,2.557141249,0.29215951,2.575255279,56.80863369,4.909889988,15.90980754,0,1.256599901,1.884427654,0.516131822,0.479175013,0.638015261,2.031236798,0.492635328,0.536624733,0.582729771,0.003045183,4.304453324,0.294654311,0.387310211
4238,0.475357588,1.856542481,0.242377399,2.45252319,52.94752922,6.962786469,18.35826781,0,0.950831575,2.791197533,0.894086133,0.250060422,0.645779383,1.879806659,0.4987329,0.816804282,0.475185127,0.138888889,3.832753962,0.158436917,0.268851666
4338,0.108964078,2.295759453,0.218843619,2.406134344,50.86036747,7.085858845,17.72842895,0,0.721496578,3.6802958,1.005764179,0.084773319,0.904362162,1.566795297,0.520935165,0.858733923,0.52283989,0.205638554,4.098887999,0.254734467,0.442131194
4438,-0.326765077,3.136794162,0.159465021,2.290504695,53.41511616,4.879425667,13.69331691,0,0.624095528,4.191494106,0.73878629,0,1.202546823,1.418593223,0.46397218,0.852879428,0.815874464,0.208521742,4.985816532,0.518181144,0.804652398
4538,-0.248373321,3.564475492,0,1.796195103,53.28581079,4.52438257,12.79616547,0.004858311,0.740545275,5.114171866,0.878962737,0.108577743,0.882612808,1.736590552,0.575249505,1.054482846,0.339186252,0.117194349,5.992441042,0.43506821,0.874224863
4638,0.020172744,3.983658795,0,1.725616015,50.96152022,4.112291859,14.03221914,0.074262751,0.971420515,5.367022217,0.598981668,0.411743398,1.024485366,1.970597119,0.316674041,0.760634801,0.384754126,0.024915334,6.43517766,0.343163862,0.528788643
4738,0.288718809,4.245246157,0.112692772,1.700847847,49.5555398,3.752065939,14.83310358,0.063426405,0.997303886,5.56183244,0.444331272,0.467409273,1.08783464,2.192297056,0.334572798,0.781640914,0.409652324,0.095654073,6.327453189,0.244902391,0.268484644
4838,0.449549673,4.206995733,0.27984577,1.56277298,49.12738771,3.977952502,15.0792778,0,0.925495394,5.850784491,0.421425844,0.367872403,1.125534731,2.46688021,0.515561613,1.010928485,0.405979132,0.22668705,5.727305822,0.136111208,0.140027358
4938,0.512976498,4.05193982,0.252051357,0.845427052,49.84403821,5.127202982,13.64106527,0,0.827521336,6.831999777,0.299211566,0.535643251,1.233766661,2.841028917,0.438024962,1.383315739,0.796293494,0.237824741,4.893510944,0.188396823,0.175499439
5038,0.530885863,3.839747848,0.170382831,0.478495397,50.77361986,5.971579428,11.14718093,0.02214561,0.821877265,6.879047966,0.222216571,0.67136096,1.605884772,3.032275861,0.363829724,1.649505051,1.077151043,0.107796252,5.547788378,0.369358121,0.212036286
5138,0.471292528,3.633189274,0.142417763,0.832656297,50.43797769,4.812298451,11.06908403,0.081998612,0.60189802,8.040733283,0.222216571,0.571257815,2.161540957,2.398596647,0.208297272,1.358784807,0.902992583,0.141143361,6.554124086,0.396562693,0.394508188
5238,0.444475527,3.622126764,0.184031804,0.760719561,49.71677849,4.931635133,12.54249952,0.136938641,0.328324995,9.277194588,0.222216571,0.38937579,2.41809787,2.375420471,0.240819033,0.790577101,0.982703999,0.211204353,5.491664152,0.382345666,0.670653254
5338,0.444475527,3.334462593,0.080948781,0.938240906,50.53728111,3.946212489,12.85166657,0.187858965,0.331102468,9.508987961,0.323308145,0.528182441,2.397663682,2.111332496,0.738509565,1.030566042,0.957961428,0.153390832,4.480395294,0.470937145,0.823248571
5438,0.444475527,2.751267494,0.012703252,0.848495212,52.67714959,2.693164568,12.66927142,0.207525189,0.288657764,9.000785125,0.497603962,0.647751477,2.548581621,1.843487135,1.059535384,1.375373133,0.910626992,0.101917375,3.976509135,0.491839009,0.724100049
5538,0.438652704,2.121729614,0.128187362,0.438457332,57.46865871,2.036664016,10.90512293,0.163736117,0.154398339,7.94071998,0.666670905,0.624923607,2.733005125,1.673939519,0.519668926,1.455136753,0.680350844,0.101740794,4.123579226,0.344060927,0.464477279
5638,0.244558587,2.606031678,0.174097028,0.248404765,56.85331481,3.231068333,9.672705509,0.119947045,0.020138914,8.29172837,0.666670905,0.674776945,2.861345687,2.314022317,0.137772209,1.461865776,0.533490862,0.117633295,4.773354255,0.233400142,0.52006492
